Zip,State
61238,IL
91778,CA
72426,AR
96107,CA
79364,TX
41859,KY
88534,TX
8873,NJ
20244,DC
77233,TX
40010,KY
8872,NJ
72033,AR
55401,MN
61015,IL
54890,WI
49872,MI
60031,IL
31067,GA
59225,MT
12093,NY
75562,TX
50441,IA
36740,AL
55922,MN
46105,IN
89828,NV
72329,AR
13743,NY
2667,MA
61482,IL
45236,OH
16878,PA
53177,WI
21632,MD
10010,NY
18653,PA
58029,ND
60088,IL
79561,TX
30264,GA
70435,LA
42020,KY
33265,FL
48916,MI
39047,MS
33467,FL
74343,OK
75433,TX
27357,NC
24733,WV
37338,TN
55033,MN
29718,SC
36611,AL
22159,VA
76703,TX
62878,IL
77521,TX
50660,IA
8922,NJ
24586,VA
3857,NH
24827,WV
28782,NC
76875,TX
53207,WI
75490,TX
72368,AR
5453,VT
97283,OR
72212,AR
37179,TN
32238,FL
5043,VT
4849,ME
96052,CA
24463,VA
15721,PA
97281,OR
43432,OH
11364,NY
44626,OH
92519,CA
51330,IA
7012,NJ
40701,KY
34423,FL
46376,IN
41642,KY
13636,NY
47616,IN
78021,TX
35240,AL
25636,WV
19562,PA
43073,OH
78266,TX
47325,IN
24377,VA
89040,NV
75974,TX
93279,CA
63052,MO
31630,GA
95568,CA
55345,MN
97023,OR
21035,MD
52585,IA
75928,TX
71152,LA
25976,WV
61841,IL
98259,WA
67739,KS
38856,MS
6332,CT
52721,IA
60139,IL
66093,KS
47904,IN
85033,AZ
48444,MI
12056,NY
4109,ME
85327,AZ
21866,MD
3053,NH
24578,VA
48642,MI
4627,ME
27871,NC
22720,VA
3051,NH
87044,NM
19141,PA
22332,VA
95562,CA
5661,VT
65334,MO
95324,CA
80926,CO
96067,CA
69041,NE
90702,CA
29679,SC
13076,NY
99101,WA
47541,IN
24919,WV
78763,TX
45176,OH
44902,OH
77987,TX
48009,MI
50546,IA
35907,AL
20463,DC
81227,CO
99126,WA
87829,NM
19714,DE
24002,VA
